
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-06-11 05:36:00 /build/assets/app-CTtEV4y4.css ............... ~ 0.03ms
  2026-06-11 05:36:00 /build/assets/login-Dzh-h17g.js .............. ~ 0.06ms
  2026-06-11 05:36:00 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.21ms
  2026-06-11 05:36:00 /build/assets/app-C8Ggl87-.js ................ ~ 0.39ms
  2026-06-11 05:36:00 /build/assets/text-link-CSoec2uC.js .......... ~ 0.57ms
  2026-06-11 05:36:00 /build/assets/button-5T1vwz7h.js ............. ~ 0.68ms
  2026-06-11 05:36:00 /build/assets/checkbox-DCAIBSVl.js ........... ~ 0.81ms
  2026-06-11 05:36:00 /_debugbar/assets ............................ ~ 0.41ms
  2026-06-11 05:36:00 /build/assets/input-Chfec9Ut.js .............. ~ 0.65ms
  2026-06-11 05:36:00 /build/assets/label-BOLrVtPs.js .............. ~ 0.38ms
  2026-06-11 05:36:00 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.51ms
  2026-06-11 05:36:00 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.62ms
  2026-06-11 05:36:00 /build/assets/index-Bhz_ry2-.js .............. ~ 0.71ms
  2026-06-11 05:36:00 /build/assets/index-_tz1FyI2.js .............. ~ 0.07ms
  2026-06-11 05:36:00 /build/assets/index-Cmvk7tHf.js .............. ~ 0.28ms
  2026-06-11 05:36:00 /build/assets/index-DfnlAyco.js .............. ~ 0.41ms
  2026-06-11 05:36:00 /build/assets/index-CWQgIVzv.js .............. ~ 0.54ms
  2026-06-11 05:36:00 /build/assets/check-CMDVCFnE.js .............. ~ 0.71ms
  2026-06-11 05:36:00 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.84ms
  2026-06-11 05:36:00 /_debugbar/assets .......................... ~ 500.64ms
  2026-06-11 05:36:00 /build/assets/index-Bq72hOse.js ............ ~ 500.92ms
  2026-06-11 05:36:00 /build/assets/loader-circle-DOjfw63j.js .... ~ 501.03ms
  2026-06-11 05:36:00 /build/assets/app-logo-icon-DDrT6k0I.js .... ~ 501.09ms
  2026-06-11 05:36:00 /build/assets/index-Dby2qiUZ.js ............ ~ 501.17ms
  2026-06-11 05:36:00 /build/assets/app-CTtEV4y4.css ............... ~ 0.05ms
  2026-06-11 05:36:00 /logo.png .................................... ~ 0.03ms
  2026-06-11 05:36:00 /login ..................................... ~ 500.65ms
  2026-06-11 05:36:01 /dashboard ................................... ~ 0.11ms
  2026-06-11 05:36:01 /_debugbar/open .............................. ~ 0.10ms
  2026-06-11 05:36:01 /_debugbar/open .............................. ~ 0.72ms
  2026-06-11 05:36:01 /build/assets/dashboard-CM-fjFUY.js .......... ~ 0.14ms
  2026-06-11 05:36:01 /build/assets/app-layout-Ddc1nZ2_.js ......... ~ 0.59ms
  2026-06-11 05:36:01 /build/assets/ErrorMessage-Cq4aixP2.js ....... ~ 1.01ms
  2026-06-11 05:36:01 /build/assets/index-DaQhm7bw.js .............. ~ 1.38ms
  2026-06-11 05:36:01 /build/assets/Combination-BneCAovC.js ........ ~ 2.02ms
  2026-06-11 05:36:01 /build/assets/x-BTJHlNsI.js .................. ~ 0.52ms
  2026-06-11 05:36:01 /build/assets/textarea-DQI5YmS8.js ........... ~ 0.63ms
  2026-06-11 05:36:01 /build/assets/GenericCombobox-BrHKnQ91.js .... ~ 0.95ms
  2026-06-11 05:36:01 /build/assets/select-ZytnwyOG.js ............. ~ 1.16ms
  2026-06-11 05:36:01 /build/assets/index-u_Y0mYO9.js .............. ~ 1.06ms
  2026-06-11 05:36:01 /build/assets/dropdown-menu-B3sdb_1k.js ...... ~ 1.17ms
  2026-06-11 05:36:01 /build/assets/settings-CU2FFVI1.js ........... ~ 1.53ms
  2026-06-11 05:36:01 /build/assets/building-2-BX2w2S2B.js ......... ~ 1.26ms
  2026-06-11 05:36:01 /build/assets/badge-ChFlzpzP.js .............. ~ 1.02ms
  2026-06-11 05:36:01 /build/assets/circle-alert-9df2RSX5.js ....... ~ 1.25ms
  2026-06-11 05:36:01 /build/assets/file-text-CpAgqThv.js .......... ~ 1.42ms
  2026-06-11 05:36:01 /build/assets/calendar-BGNmfN3k.js ........... ~ 1.33ms
  2026-06-11 05:36:01 /build/assets/clock-C9lav-iG.js .............. ~ 1.27ms
  2026-06-11 05:36:01 /build/assets/map-pin-CcxFvwf3.js ............ ~ 1.62ms
  2026-06-11 05:36:01 /build/assets/card-sX4WHo9S.js ............... ~ 0.88ms
  2026-06-11 05:36:01 /build/assets/video-COdDwfA1.js .............. ~ 0.88ms
  2026-06-11 05:36:02 /meetings/create ............................. ~ 0.11ms
  2026-06-11 05:36:02 /build/assets/app-CTtEV4y4.css ............... ~ 0.03ms
  2026-06-11 05:36:02 /build/assets/app-C8Ggl87-.js ................ ~ 0.06ms
  2026-06-11 05:36:02 /build/assets/Create-BEK90aaL.js ............. ~ 0.22ms
  2026-06-11 05:36:02 /build/assets/form-rt6wvs7s.js ............... ~ 0.39ms
  2026-06-11 05:36:02 /build/assets/app-layout-Ddc1nZ2_.js ......... ~ 0.54ms
  2026-06-11 05:36:02 /build/assets/ErrorMessage-Cq4aixP2.js ....... ~ 0.64ms
  2026-06-11 05:36:02 /build/assets/button-5T1vwz7h.js ............. ~ 0.73ms
  2026-06-11 05:36:02 /build/assets/index-DaQhm7bw.js .............. ~ 0.05ms
  2026-06-11 05:36:02 /build/assets/index-Cmvk7tHf.js .............. ~ 0.21ms
  2026-06-11 05:36:02 /build/assets/Combination-BneCAovC.js ........ ~ 0.39ms
  2026-06-11 05:36:02 /build/assets/index-CWQgIVzv.js .............. ~ 0.48ms
  2026-06-11 05:36:02 /build/assets/x-BTJHlNsI.js .................. ~ 0.47ms
  2026-06-11 05:36:02 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.66ms
  2026-06-11 05:36:02 /build/assets/input-Chfec9Ut.js .............. ~ 0.15ms
  2026-06-11 05:36:02 /build/assets/textarea-DQI5YmS8.js ........... ~ 0.28ms
